aa.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). A SNOPATH/-L preload-path library member (tests.in: `-Laa/aa.sno preload1.sno`, `SNOPATH=aa:bb include4.sno`), not a top-level test; the nested aa/aa.sno copy is the real preload target (see preload1.sno in UNGRADED.tsv, which IS gradable through it).
bb.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Same class as aa.sno: a SNOPATH/-L preload-path library member (tests.in: `-Laa/aa.sno -Lbb/bb.sno preload2.sno`, `SNOPATH=aa:bb include4.sno`), not a top-level test.
aa/aa.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: `csnobol4 -b aa/aa.sno` -> rc=1, "aa/aa.sno:1: Error 32 in statement 0 at level 0 / Missing END statement" (measured 2026-09-06). BYTE-IDENTICAL to the top-level aa.sno above (md5 verified), and it is the file `-Laa/aa.sno` actually resolves to -- shipped a second time at this relative path so the preload search finds it. It needs its own ruling because lib_inventory.sh censuses shipped BY EXTENSION OVER THE WHOLE TREE, so a top-level reading of this package never sees it; without this row the buckets sum to 131 against shipped=132.
bb/bb.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: `csnobol4 -b bb/bb.sno` -> rc=1, "bb/bb.sno:1: Error 32 in statement 0 at level 0 / Missing END statement" (measured 2026-09-06). Same class as aa/aa.sno immediately above: byte-identical to the top-level bb.sno (md5 verified), the file `-Lbb/bb.sno` resolves to, and the second of the two nested preload targets of preload2.sno.
basename.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). A `-INCLUDE`-only function library (`DEFINE("BASENAME(X,SEP)")`, itself `-INCLUDE 'host.sno'`); no top-level executable statement is ever reached when run standalone. Not registered in upstream tests.in.
host.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Machine-generated HOST() function-code header library ("THIS FILE IS MACHINE GENERATED DO NOT EDIT"), `-INCLUDE`-only. Not registered in upstream tests.in.
json.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). `-INCLUDE`-only JSON_ENCODE/JSON_DECODE function library. Not registered in upstream tests.in.
line2.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). Documented by this runner's OWN header as line.sno's `-INCLUDE` sibling ("line.sno -> line2.sno"); not a standalone test.
utf.sno	CONTAINER_OR_LIBRARY	oracle refuses standalone run: Error 32 "Missing END statement" (rc=1). `-INCLUDE`-only UTF-8 rune-handling function library (RANGE/RUNE/etc). Not registered in upstream tests.in.
bench.sno	NEEDS_INPUT	oracle exits rc=1 "NO FILENAME ON COMMAND LINE" with no argv. A general-purpose SIL-to-C translator tool (genc family) that reads its OWN source path from argv via HOST(2,HOST(3)); no fixture argv is shipped for it. Even if one were supplied, its output embeds DATE() (`OUTPUT = '/* generated from ' SILPATH ' by genc.sno on ' DATE ' */'`), so no run could ever be byte-reproducible against a stored ref.
preload3.sno	NEEDS_INPUT	oracle exits rc=0 with EMPTY output when run exactly as tests.in registers it (`SNOBOL_PRELOAD_PATH=pa:pb preload3.sno`). "pa"/"pb" are not vendored anywhere in this corpus (unlike aa/, bb/, which ARE — see preload1.sno/preload2.sno in UNGRADED.tsv), so the preload path resolves to nothing. Empty output is a plausible correct answer for a path that resolves to nothing, but not one this census will mint a ref for absent a real pa/pb fixture (this suite's own precedent: never mint a vacuous empty ref, ALL.excluded.txt).
preload4.sno	NEEDS_INPUT	oracle exits rc=0 with EMPTY output when run exactly as tests.in registers it (`SNOPATH=pa:pb preload4.sno`). Same missing pa/pb fixture as preload3.sno.
include4.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
json1.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): json1.sno(16) : ERROR 022 -- undefined function called. Missing feature by name: json.escape -- zero hits for json in the SPITBOL v3.7 manual, a CSNOBOL4 module.	
keytrace.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; ceo 2026-09-08 17:38 on the trace class row): BREAKPOINT() is CSNOBOL4, not SPITBOL, and sbl -bf answers with a fatal LISTING (keytrace.sno(15) ERROR 014) -- RULING R5 forbids grading a listing; the sbl-cut keytrace.ref was that listing and is removed.	
k.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
labelcode.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): labelcode.sno(1) : ERROR 022 -- undefined function called. Missing feature by name: LABELCODE() -- zero hits in the SPITBOL v3.7 manual, a CSNOBOL4-only builtin.	
label.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): label.sno(5) : ERROR 022 -- undefined function called. Missing feature by name: LABEL(x) as a callable predicate -- the SPITBOL v3.7 manual carries LABEL ONLY as a TRACE type string (:6499, :10297), never as a function. Permanent.	
loaderr.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): loaderr.sno(2) : ERROR 142 -- load function does not exist. Missing feature by name: the CSNOBOL4 LOAD() external-function protocol -- LOAD IS in the SPITBOL manual and 142 is its own documented error (:11460), so SPITBOL refuses the load rather than letting the program handle it.	
maxint.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): maxint.sno(1) : ERROR 251 -- keyword operand is not name of defined keyword. Missing feature by name: &MAXINT -- zero hits in the SPITBOL v3.7 manual, a CSNOBOL4-only keyword.	
ndbm.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test	
noexec.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
openi.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): openi.sno(1) : ERROR 116 -- inappropriate file specification for input. Missing feature by name: the CSNOBOL4 4-argument INPUT(.var,unit,,"path") filename spec; 116 is SPITBOL's own documented error (:11434).	
openo2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): openo2.sno(1) : ERROR 116 -- inappropriate file specification for input. Missing feature by name: the CSNOBOL4 4-argument INPUT filename spec. SETUP_DEP: it reads back openo.tst, which openo.sno writes -- and openo is itself outside the baseline, so the fixture never exists under SPITBOL.	
openo.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): openo.sno(1) : ERROR 160 -- inappropriate file specification for output. Missing feature by name: the CSNOBOL4 4-argument OUTPUT(.var,unit,,"path") filename spec; 160 is SPITBOL's own documented error (:11481).	
ord.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): ord.sno(3) : ERROR 022 -- undefined function called. Missing feature by name: ORD() -- the manual's 29 ORD hits are every one of them the substring in WORD/WORDS; zero are the builtin.	
popen2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): popen2.sno(2) : ERROR 160 -- inappropriate file specification for output. Missing feature by name: the CSNOBOL4 "|command" pipe file specification.	
popen.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): popen.sno(3) : ERROR 116 -- inappropriate file specification for input. Missing feature by name: the CSNOBOL4 "|command" pipe file specification.	
random.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test	
scanerr.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; the keytrace class, ceo 2026-09-08 17:38 applied by class by the cto, ORACLE_ACCEPTANCE census): sbl -bf answers with a fatal LISTING (scanerr.sno(18) ERROR 212 value used where name is required) -- RULING R5 forbids grading a listing; the sbl-cut .ref was that listing and is removed.	
setexit5.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 	
setexit6.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 	
setexit7.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_R adjudication Q-Z + hq_S feature check, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): setexit7.sno(1) : ERROR 251 -- keyword operand is not name of defined keyword. Missing feature by name: &FATALLIMIT -- zero hits in the SPITBOL v3.7 manual.	INCOMPLETE EXTENSION: it dies on its FIRST line, so nothing after line 1 of the program is reachable in SPITBOL at all -- the entry measures zero of what it was written to test.
setexit.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: 	
sleep.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test	
space2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
space.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
time.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): CSNOBOL4 LOAD() module test	
t.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_R adjudication Q-Z, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): t.sno(3) : ERROR 198 -- trace first argument is not appropriate name. Missing feature by name: TRACE('f','f') with a STRING first argument -- SPITBOL requires a name (198 is its own documented error, :11521).	
update.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_R adjudication Q-Z, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): update.sno(3) : ERROR 289 -- input channel currently in use. Missing feature by name: re-opening a channel already OUTPUT-bound, plus the CSNOBOL4 "B,U" binary/unformatted file spec at line 1. 289 is beyond the SPITBOL v3.7 manual's own error table, which ends at 288.	INCOMPLETE EXTENSION: SPITBOL reaches line 3 and dies, so we produce 7 lines where csnobol4 produces 16 (hq_R). A REAL implementation gap sits behind this entry; leaving the denominator is not a clearance of it.
vdiffer.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_R adjudication Q-Z, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): vdiffer.sno(1) : ERROR 022 -- undefined function called. Missing feature by name: VDIFFER() -- zero hits in the SPITBOL v3.7 manual, a CSNOBOL4-only builtin.	
